,movie_id,genre_id
966,287947,35
967,287947,14
968,617708,53
969,617708,27
970,617708,18
971,155,18
972,155,28
973,155,80
974,155,53
975,119450,878
976,119450,28
977,119450,18
978,119450,53
979,209112,28
980,209112,12
981,209112,14
982,9487,12
983,9487,16
984,9487,35
985,9487,10751
986,446893,10751
987,446893,16
988,446893,35
989,446893,14
990,446893,12
991,446893,10402
992,49530,28
993,49530,53
994,49530,878
995,458156,28
996,458156,53
997,458156,80
998,9806,28
999,9806,12
1000,9806,16
1001,9806,10751
1002,676845,27
1003,22803,18
1004,22803,80
1005,22803,53
1006,246655,28
1007,246655,12
1008,246655,878
1009,246655,14
1010,341174,18
1011,341174,10749
1012,87101,878
1013,87101,28
1014,87101,53
1015,87101,12
1016,18823,12
1017,18823,14
1018,18823,28
1019,591274,9648
1020,591274,27
1021,12155,10751
1022,12155,14
1023,12155,12
1024,760517,10749
1025,760517,35
1026,105864,12
1027,105864,16
1028,105864,10751
1029,20352,10751
1030,20352,16
1031,20352,35
1032,10192,35
1033,10192,12
1034,10192,14
1035,10192,16
1036,10192,10751
1037,141052,28
1038,141052,12
1039,141052,14
1040,141052,878
1041,858815,18
1042,858815,9648
1043,858815,53
1044,147441,12
1045,147441,18
1046,147441,28
1047,11811,35
1048,11811,27
1049,82675,28
1050,82675,80
1051,82675,53
1052,343611,28
1053,343611,53
1054,62177,16
1055,62177,12
1056,62177,35
1057,62177,10751
1058,62177,28
1059,62177,14
1060,496243,35
1061,496243,53
1062,496243,18
